"Compound","Rack.Number","N","yield.est","yield.sd","yield.log2.ratio","p.yield","p.adj.yield"
"(-)-Epigallocatechin gallate (EGCG)","L1035-01",4,4744.76019634031,80.5755607973375,-0.031744659713514,0.069677213066401,0.146933167395576
"17-DMAG (Alvespimycin) HCl","L1035-01",4,4382.47589770172,37.0270057146888,-0.146333677318949,1.06E-10,2.44E-09
"5-Aminovaleric acid hydrochloride","L1035-01",4,5281.53535321392,86.9110441932781,0.12287755104003,0.000427268422142,0.002462727710957
"5-Iodotubercidin","L1035-01",4,5041.16812963985,22.1013002378961,0.055678237004636,1.26E-08,2.14E-07
"5-R-Rivaroxaban","L1035-01",4,4925.34543096573,55.2152021640054,0.022145075213682,0.06717946429929,0.142971680431822
"ABT-888 (Veliparib)","L1035-01",4,4904.32731798242,52.4695248243155,0.015975434706494,0.15105254606965,0.255445674083362
"Acitretin","L1035-01",4,4127.2164748987,26.2019230919501,-0.232910723415687,2.99E-20,2.07E-18
"Adapalene","L1035-01",4,4481.25696770426,33.0801132132382,-0.114176376939406,1.22E-10,2.73E-09
"AEBSF.HCl","L1035-01",4,4738.39446737847,118.164461216763,-0.033681527203282,0.152647849410585,0.256473107309282
"AGI-6780","L1035-01",4,5028.81381741227,144.993597179038,0.05213830733636,0.085819608243089,0.170831230405139
"Aliskiren","L1035-01",4,4879.48721415587,161.766352213836,0.008649708837622,0.747877988696403,0.819998323141367
"Alogliptin Benzoate","L1035-01",4,4993.13994581828,130.742715108336,0.041867508602833,0.112563770715965,0.209950403807305
"AN-2728","L1035-01",4,3580.34088401011,40.0706455842978,-0.437982881012268,5.01E-15,1.81E-13
"Angiotensin (1-7)","L1035-01",4,4579.21240427887,107.48649583373,-0.082980348748155,0.009167256882763,0.031183701691365
"Aprotinin","L1035-01",4,12983.8813110825,388.584817925113,1.42056997797162,2.47E-05,0.000215201198372
"Asunaprevir (BMS-650032)","L1035-01",4,4561.15244240042,49.3937914906233,-0.088681445320081,1.07E-05,0.000112893268629
"Batimastat (BB-94)","L1035-01",4,4481.64349869743,68.1505660589669,-0.114051942589291,0.000112109424638,0.000809137586516
"Bestatin","L1035-01",4,4635.55244830965,135.05083574633,-0.065338549683473,0.043750877699157,0.103456491425358
"BMS-626529","L1035-01",4,4500.20998195488,70.7066491441184,-0.108087514082091,0.000211520214265,0.001360944014265
"Boceprevir","L1035-01",4,4579.81407314359,50.508821288651,-0.082790803562152,2.49E-05,0.000215201198372
"Bortezomib (PS-341)","L1035-01",4,6929.62708312328,58.2317088984747,0.514697882089905,1.05E-10,2.44E-09
"CA 074","L1035-01",4,4972.61052568561,29.1531485568696,0.035923604107607,0.000130294095346,0.000916475416415
"Calpain Inhibitor I, ALLN","L1035-01",4,4854.77459514353,103.128263785711,0.00132447962337,0.940255985501198,0.967053863650551
"Calpain Inhibitor II, ALLM","L1035-01",4,4838.40419775809,76.6445053208281,-0.003548537595076,0.797331852868374,0.854359871047087
"Carfilzomib (PR-171)","L1035-01",4,5807.67193082688,125.3888976968,0.259880125399115,0.000197117331161,0.001288247124911
"Cathepsin S inhibitor","L1035-01",4,4628.65002825608,56.822958510706,-0.067488349204643,0.000375489202576,0.002242129770775
"Celastrol","L1035-01",4,1611.62381398815,48.4977297026688,-1.5895648053504,2.77E-15,1.10E-13
"Choline Fenofibrate","L1035-01",4,5502.2854030257,150.329653023507,0.181951140113761,0.001935693676527,0.008876385367499
"Cladribine","L1035-01",4,4479.48102674979,70.3450277071319,-0.114748236365062,0.000148529711218,0.001018840167856
"Clemizole","L1035-01",4,4797.21913572683,54.1382659291052,-0.015881490956913,0.16581587347278,0.2708722730223
"Clemizole hydrochloride","L1035-01",4,4696.2647933741,36.824332162351,-0.046566078530525,8.22E-05,0.000614991799503
"Clozapine N-oxide (CNO)","L1035-01",4,4772.53944118609,79.8618304926182,-0.023322713548666,0.147868155906789,0.25253203580789
"D609","L1035-01",4,4758.33136163746,45.8510193824733,-0.027624091987999,0.015494896210777,0.046596970488931
"Dabigatran etexilate mesylate","L1035-01",4,4682.61761864058,206.129098998951,-0.050764601198996,0.20205854815566,0.319911054507051
"Darapladib","L1035-01",4,385.827844719726,511.808570811987,-3.65205066415839,0.000381049494219,0.002259079144299
"DGAT-1 inhibitor","L1035-01",4,4878.30532168344,99.4318961580648,0.008300221920183,0.631831086336246,0.732429890585313
"dmso","L1035-01",32,4850.31966935219,123.247404471275,0,1,1
"Dutasteride","L1035-01",4,4247.17991672497,43.0713128615511,-0.191574609294882,5.15E-10,1.04E-08
"E 64d","L1035-01",4,4935.80730007478,44.5222987685719,0.025206237079125,0.019733527006181,0.058080948280602
"E-64","L1035-01",4,4639.74449450749,94.8042771724523,-0.064034473984361,0.013028042770337,0.040814620642908
"Edoxaban","L1035-01",4,4593.09537283363,166.381679676659,-0.078613093381619,0.049105499539747,0.111971331368104
"Edoxaban tosylate monohydrate","L1035-01",4,4580.24517498192,51.5214573585734,-0.082655007828111,3.27E-05,0.000274020500024
"EMD638683","L1035-01",4,4610.84526429345,70.9411942715385,-0.073048582887396,0.001510697961984,0.00715737546489
"Epoxomicin","L1035-01",4,4651.12702259024,188.149888052448,-0.060499493438463,0.122088277746524,0.21795669165976
"Fenretinide","L1035-01",4,3953.00024449283,40.6144970788116,-0.295131789548985,6.66E-13,2.05E-11
"Fluvastatin","L1035-01",4,1437.48873014617,44.464586269427,-1.75452918850686,1.62E-17,7.06E-16
"Fosamprenavir Calcium Salt","L1035-01",4,4770.79664895368,147.989826706012,-0.023849639922255,0.36777886518427,0.497971383528457
"INCB024360 analogue","L1035-01",4,4580.08443086273,90.6601241756799,-0.082705640229694,0.004060244706723,0.016683183695941
"Ivermectin","L1035-01",4,4601.07978111318,134.585286204313,-0.076107361451958,0.028206207610495,0.074796013791407
"Ledipasvir","L1035-01",4,4617.20926456463,83.3914185212648,-0.071058713179045,0.004696186248513,0.018921527117795
"Leupeptin, Microbial","L1035-01",4,4738.16536155487,42.0686519611883,-0.033751284550163,0.003189365764891,0.013645224664226
"LX-1031","L1035-01",4,4071.74327750466,31.6184405899234,-0.25243323125303,5.57E-17,2.31E-15
"Malotilate","L1035-01",4,4253.59365559599,42.4292134782339,-0.18939761423912,3.66E-10,7.60E-09
"Melatonin","L1035-01",4,4797.71334020188,85.122321490239,-0.015732873684669,0.323869507399858,0.452544934582293
"MG-132","L1035-01",4,6737.02878012698,45.79966542874,0.474032628495955,3.39E-14,1.17E-12
"MK-4827","L1035-01",4,4497.60480891846,123.07923280424,-0.108922932550392,0.006602556241415,0.024464828930244
"MK-5172","L1035-01",4,4580.35391372879,68.3171621252617,-0.082620757480649,0.000616158628782,0.003364550407167
"Nafamostat Mesylate(FUT-175)","L1035-01",4,5350.41852929432,159.213431596175,0.141571914870248,0.005885402008527,0.022615202162397
"Nelfinavir Mesylate","L1035-01",4,4003.86154150684,128.990811166613,-0.276687749082708,0.000364591804746,0.002192834767674
"Nesbuvir","L1035-01",4,4523.95263060669,53.2483467984604,-0.100496010698376,1.24E-05,0.000125498551112
"Nordihydroguaiaretic acid","L1035-01",4,2533.13017975005,36.5973788380608,-0.937158613636054,6.57E-21,5.45E-19
"Odanacatib (MK-0822)","L1035-01",4,4651.43147809589,86.2426574811901,-0.060405059966572,0.010496733427626,0.034435923893002
"Olprinone Hydrochloride","L1035-01",4,4781.18750608476,120.523618990712,-0.020710848290391,0.343871539302727,0.473322350947369
"Oprozomib (ONX-0912)","L1035-01",4,6217.86268019009,44.1030824162099,0.358338921565217,1.78E-13,5.91E-12
"Oseltamivir","L1035-01",4,4887.83356756447,45.5372034353908,0.011115327787188,0.26089626389247,0.381911638502205
"Oseltamivir acid","L1035-01",4,4846.00339545654,93.9794127132257,-0.001284418292183,0.937234815226014,0.965142551659543
"Otamixaban","L1035-01",4,4811.25900383582,64.6016028080666,-0.011665368025267,0.353443715414689,0.481704899497851
"P005091","L1035-01",4,3292.60994490669,114.702810369788,-0.558848219021492,1.70E-05,0.000151449942638
"Palifosfamide","L1035-01",4,5148.51794259662,108.075264935174,0.086077362517456,0.00669418435773,0.024694102297403
"Pentostatin","L1035-01",4,5151.7818366273,110.968101801452,0.086991666759193,0.007254543903634,0.025953756206967
"Pepstatin A","L1035-01",4,4670.31275574681,119.425972343615,-0.054560668144253,0.049465836167677,0.112176623003203
"PF-03084014","L1035-01",4,4816.01546672188,117.411517557549,-0.010239808590515,0.61382174525394,0.714547052679902
"PF-8380","L1035-01",4,4031.13516251593,79.3000410534661,-0.266893676889952,8.81E-06,9.50E-05
"PMSF","L1035-01",4,4581.69755006916,77.9608242215985,-0.082197608253304,0.001681708207374,0.007797864872182
"Q-VD-OPh hydrate","L1035-01",4,4608.22029106789,78.6363353179985,-0.073870149006995,0.002837488653232,0.012395345169383
"RG2833","L1035-01",4,4603.23080263874,49.9506002538164,-0.075433053883559,4.34E-05,0.000360444881614
"Saquinavir mesylate","L1035-01",4,4640.06265568818,61.2499564689515,-0.063935547454889,0.000984388138852,0.004981964361261
"Sildenafil","L1035-01",4,5010.24090496018,66.8960581419126,0.046800139550362,0.007113326386921,0.025669830004976
"Simeprevir","L1035-01",4,5001.56896347349,88.388922267855,0.044300897101509,0.030932231822286,0.078996161269223
"SJB2-043","L1035-01",4,4745.49584855789,79.4475468410486,-0.031520994134161,0.068258253174029,0.144896036149473
"SMIP004","L1035-01",4,4747.42466712272,93.0822029518817,-0.030934726291307,0.108831534271768,0.205295848739927
"SR1078","L1035-01",4,4481.34209383928,5537.45433329303,-0.114148971707509,0.902421978111584,0.937084467486158
"SR3335","L1035-01",4,4765.84677701734,118.801732231731,-0.025347264614274,0.255228960201072,0.376939567556743
"T0901317","L1035-01",4,3584.32500129458,74.332745031151,-0.4363783772062,3.99E-07,5.71E-06
"Tamibarotene","L1035-01",4,1045.43304939947,702.183266158579,-2.21397916071565,0.001633110159288,0.007615064225895
"Tasquinimod","L1035-01",4,4705.04796183159,92.4060361894025,-0.043870404512759,0.041125226260742,0.098388417782376
"Vicriviroc Malate","L1035-01",4,4813.4142669477,119.038859505668,-0.011019239607644,0.592763340318535,0.697863223353736
"Z-DEVD-FMK","L1035-01",4,4937.9217382108,57.6217107365194,0.025824137256029,0.0448631643532,0.104596703407742
"Z-VAD-FMK","L1035-01",4,5540.70651947363,144.03172214706,0.191990118357375,0.001312902523684,0.006410053497984
"17-AAG (KOS953)","L1035-02",4,4033.52500639579,41.4817256489845,-0.196717272695817,1.97E-12,5.45E-11
"2-Methoxyestradiol (2-MeOE2)","L1035-02",4,4496.63654725589,124.570178297888,-0.03991219383076,0.133094773020751,0.23110598662599
"A-966492","L1035-02",4,4349.4928554976,63.5832381923564,-0.087911278206014,0.000127455292767,0.000904170025609
"Abiraterone","L1035-02",4,1138.89881658796,752.79743470738,-2.02111889374331,0.002575207232083,0.011616423927332
"AG-14361","L1035-02",4,4535.16188350819,72.8724898589438,-0.02760442388258,0.095695699998393,0.186888072938039
"Alogliptin (SYR-322)","L1035-02",4,4513.5125953017,89.6103855203282,-0.034507839494053,0.086249101839744,0.171260178294228
"AR-42 (OSU-HDAC42)","L1035-02",4,2552.92214886699,43.0053164847656,-0.856608929283445,7.94E-21,5.99E-19
"Aspirin (Acetylsalicylic acid)","L1035-02",4,4331.92765536775,112.408472920446,-0.093749323182272,0.006909121655118,0.025151627077841
"AT13387","L1035-02",4,4360.90529218596,66.766396997019,-0.084130813764103,0.000286446417623,0.001784580338224
"Atazanavir sulfate (BMS-232632-05)","L1035-02",4,4506.46580422378,109.110093696809,-0.03676202950656,0.119188469812431,0.21505745640069
"AUY922 (NVP-AUY922)","L1035-02",4,4337.84714951798,77.3551909197559,-0.091779254437844,0.000652408891804,0.003493544388371
"AZD2461","L1035-02",4,4326.77801443109,27.49679718735,-0.095465367727712,1.41E-10,3.07E-09
"Belinostat (PXD101)","L1035-02",4,4254.1596009957,76.136177153132,-0.119884313722455,0.000119889116615,0.000857827299915
"BIBR 953 (Dabigatran, Pradaxa)","L1035-02",4,4411.97142313086,132.655818968185,-0.067335026392407,0.041133471048776,0.098388417782376
"BIIB021","L1035-02",4,4412.33970398801,42.750487926324,-0.067214605215294,1.42E-05,0.000133619556114
"BMS-707035","L1035-02",4,4536.22408843426,144.041501011142,-0.027266561996646,0.325559735498431,0.454009089551368
"BMS-708163 (Avagacestat)","L1035-02",4,1933.42711186724,48.1920028145925,-1.25759809545584,2.92E-19,1.73E-17
"Captopril","L1035-02",4,4364.22327639191,66.0455273873831,-0.083033560112699,0.000280900498972,0.001766268288989
"CEP-18770","L1035-02",4,6102.57408844515,79.754209586711,0.400659432343237,3.36E-08,5.47E-07
"CI994 (Tacedinaline)","L1035-02",4,4467.83768802404,21.5743847593226,-0.049181697705607,9.42E-06,0.000100193806798
"Cobicistat (GS-9350)","L1035-02",4,4390.14025665721,111.193567894669,-0.074491440974775,0.015296890457986,0.046168796655011
"CUDC-907","L1035-02",4,4755.74890979847,123.208918486109,0.040914074000398,0.11510949194774,0.212313062925831
"Danoprevir (RG7227)","L1035-02",4,4460.59797784088,151.453351592751,-0.051521345244931,0.11738357815096,0.21261671728384
"Disulfiram","L1035-02",4,2650.75605628736,2624.7239816998,-0.802354564832269,0.229951074498857,0.352139099324817
"dmso","L1035-02",32,4622.77284515034,156.336079503686,0,1,1
"Doxycycline hyclate","L1035-02",4,4657.04770844959,73.2347119022769,0.01065718887118,0.478783600058991,0.60119574591371
"Droxinostat","L1035-02",4,4484.95315134592,50.1241446836622,-0.043665557636708,0.002737494061296,0.012021799316801
"Elvitegravir (GS-9137)","L1035-02",4,4327.16342192887,29.4510517979462,-0.09533686547467,3.53E-10,7.51E-09
"Entacapone","L1035-02",4,4267.41308927113,127.451654921021,-0.115396701418574,0.005972702550573,0.022740106041174
"FG-4592 (ASP1517)","L1035-02",4,4286.73664657872,67.1283926136931,-0.108878684179941,5.27E-05,0.000420763162939
"Fluorouracil (Adrucil)","L1035-02",4,2709.52860271546,66.2059747400089,-0.77071659605363,4.12E-11,1.07E-09
"Gabexate mesylate","L1035-02",4,4311.31418877847,91.608865772893,-0.100630769506221,0.001517708532314,0.00715737546489
"Geldanamycin","L1035-02",4,2858.87541931186,34.0850285173101,-0.693310719560388,2.29E-26,2.38E-24
"Glimepiride","L1035-02",4,3998.37868567858,54.6952177220886,-0.209343356918737,4.76E-09,8.58E-08
"GM 6001","L1035-02",4,4437.09782791216,33.2533633512587,-0.059142111190668,5.81E-06,6.80E-05
"Iniparib (BSI-201)","L1035-02",4,4343.4397184742,111.571861424096,-0.089920457985704,0.00779225790957,0.027521591765714
"INO-1001","L1035-02",4,4497.57029072993,64.3667238724418,-0.03961264388521,0.016984264791114,0.050526665866039
"IOX2(Glycine)","L1035-02",4,4775.15717151837,102.776809788386,0.046789746554463,0.048077012726623,0.109928155821205
"IPI-504 (Retaspimycin hydrochloride)","L1035-02",4,4326.21367732236,96.1525532191456,-0.095653549197963,0.002639428320228,0.011841759490754
"ITF2357 (Givinostat)","L1035-02",4,4194.1987879467,78.3242488078346,-0.140363231916536,6.46E-05,0.000510852966199
"IU1","L1035-02",4,4640.94637831309,42.0209842703495,0.005660555803269,0.607261848574795,0.709897653967718
"JNJ-26481585","L1035-02",4,4646.75592701296,94.0549850448555,0.007465395776964,0.677312182906224,0.769041192629501
"Ketoconazole","L1035-02",4,2384.11644808236,23.1873586127096,-0.955303769354784,6.44E-38,1.34E-35
"LAQ824 (NVP-LAQ824,Dacinostat)","L1035-02",4,4379.16983240389,59.6857349286588,-0.078101071552875,0.000153999654431,0.001039184659984
"LDN 57444","L1035-02",3,3563.52321781135,3090.55133000439,-0.375454148696964,0.612964552016854,0.714547052679902
"Linagliptin (BI-1356)","L1035-02",4,4300.84967065832,67.1114230554937,-0.10413676778345,7.15E-05,0.000549795264894
"LY-411575","L1035-02",4,4377.70795546124,116.944710373162,-0.078582759818084,0.015730964584453,0.047136103267495
"M344","L1035-02",4,4312.41068599156,48.086251072917,-0.100263895302054,7.63E-07,1.07E-05
"Marimastat","L1035-02",4,4426.33581858315,92.5726139399151,-0.062645562728367,0.012750031142642,0.040391320032035
"MC1568","L1035-02",4,3793.47734394347,29.9663748565149,-0.28523755140572,5.02E-21,4.63E-19
"MK-0752","L1035-02",4,2652.80699567986,3309.36232284388,-0.801238756380769,0.319466146032171,0.447144858695956
"MK-2048","L1035-02",4,3831.17984597081,118.929205532777,-0.270969721474072,0.000150641738946,0.001024857732173
"MLN2238","L1035-02",4,6783.53190897654,128.567442706806,0.553278148724387,4.13E-06,4.97E-05
"MLN9708","L1035-02",4,6872.11775727216,136.676132337852,0.571996285166899,6.10E-06,7.03E-05
"Mocetinostat (MGCD0103, MG0103)","L1035-02",4,3931.12446890017,83.7670716133511,-0.233816429146384,8.27E-06,9.03E-05
"Necrostatin-1","L1035-02",4,4671.32902904824,120.267451058239,0.015074593331115,0.500466815688814,0.620292820065779
"NSC 405020","L1035-02",4,4638.48125603098,41.173362447727,0.004894038747395,0.653989822023696,0.751816554403971
"NSC 632839 hydrochloride","L1035-02",4,3097.98951346511,63.9940103481033,-0.57742621215544,9.29E-11,2.27E-09
"NVP-BEP800","L1035-02",4,5194.90951664599,246.169299999988,0.168340148082074,0.016196317311561,0.048355911397827
"Olaparib (AZD2281, Ku-0059436)","L1035-02",4,4443.88341549038,104.814014093561,-0.056937504473167,0.0304878957454,0.078586812014541
"Olmesartan medoxomil","L1035-02",4,4371.93435113554,62.6505576941689,-0.080486735145492,0.000204777331003,0.001327853005723
"ONX-0914 (PR-957)","L1035-02",4,4327.43462659661,77.0505056759886,-0.095246447496356,0.000512156537961,0.002852952526898
"PCI-24781 (CRA-024781)","L1035-02",4,3036.19894960142,62.5346119230623,-0.606492145133095,3.07E-11,8.22E-10
"PCI-34051","L1035-02",4,3655.96242618332,157.353148248784,-0.338507229535865,0.000430863811888,0.002466323888738
"PF-04929113 (SNX-5422)","L1035-02",4,4601.81423019161,64.8621659364818,-0.006555728001104,0.63524961342352,0.734341475127467
"PJ34 hydrochloride","L1035-02",4,4385.01076096147,131.507155616187,-0.076178089747092,0.027530903177427,0.073239261657898
"Pracinostat (SB939)","L1035-02",4,4274.53183020243,67.7048232514869,-0.112992055939487,4.53E-05,0.000372209161872
"Raltegravir (MK-0518)","L1035-02",4,4254.46058543464,57.4982642470122,-0.119782245761231,2.72E-06,3.37E-05
"RO4929097","L1035-02",4,4589.17362197167,48.7066982892379,-0.010524083652173,0.377661237539173,0.507214930675588
"Rocilinostat (ACY-1215)","L1035-02",4,4398.76097671572,137.253070242958,-0.071661263746559,0.038341747552656,0.093823120912003
"Rucaparib (AG-014699,PF-01367338)","L1035-02",4,4325.84123784878,26.5082509842178,-0.09577775473923,8.53E-11,2.15E-09
"S/GSK1349572","L1035-02",4,4187.90471265272,85.1302344496177,-0.142529855824151,0.00014381355122,0.001003069306828
"Scriptaid","L1035-02",4,4253.28491705842,86.748535713509,-0.1201809720622,0.000415967860679,0.002414358911631
"Sitagliptin phosphate monohydrate","L1035-02",4,4350.12831112443,48.2534288954034,-0.087700517607222,3.56E-06,4.35E-05
"SNX-2112","L1035-02",4,4461.22632064111,69.598698802676,-0.051318134104912,0.007108872904789,0.025669830004976
"Sodium Phenylbutyrate","L1035-02",4,4561.25376126852,132.828919490978,-0.019328037367666,0.439356820376432,0.560163073598216
"Tegobuvir","L1035-02",4,4326.77328082704,103.637832997326,-0.095466946073263,0.004170597271964,0.017052195742515
"Telaprevir (VX-950)","L1035-02",4,4370.81364490501,73.165371839693,-0.08085660451166,0.000837669696513,0.004345411550663
"Teneligliptin hydrobromide","L1035-02",4,4316.82343332984,49.6346449215931,-0.09878838793523,1.54E-06,1.93E-05
"Tipifarnib (Zarnestra)","L1035-02",4,3568.52279812465,51.1122159333522,-0.373431483422545,1.23E-12,3.53E-11
"Trelagliptin","L1035-02",4,4385.52272982471,61.4676935849232,-0.076009658729366,0.000254484971929,0.001624788666932
"Tubastatin A","L1035-02",4,4395.15573344124,30.9239748625735,-0.072844187591787,1.09E-07,1.65E-06
"UK-5099","L1035-02",4,2801.97367621375,295.309369065261,-0.722315070740834,0.000862165401575,0.004444703623025
"UPF 1069","L1035-02",4,4344.21949996445,39.4215131030138,-0.08966147294412,1.06E-07,1.63E-06
"Valproic acid sodium salt (Sodium valproate)","L1035-02",4,4467.93096042525,60.3705902815146,-0.049151579730093,0.003930583980787,0.016230769671905
"Vildagliptin (LAF-237)","L1035-02",4,4416.90267186208,33.7615418123432,-0.065723430450916,1.43E-06,1.86E-05
"Vorinostat (SAHA, MK0683)","L1035-02",4,4330.57837492427,63.3519796586278,-0.094198754377704,7.41E-05,0.000564364811596
"VX-222 (VCH-222, Lomibuvir)","L1035-02",4,4451.75550940173,83.2709369115549,-0.054384110859097,0.013706376624311,0.042291050550849
"YO-01027 (Dibenzazepine, DBZ)","L1035-02",4,4483.33519670061,26.4590078310623,-0.04418610628053,8.06E-05,0.000608517991355
"3-Chlorotyrosine","L1035-03",4,2689.78367881886,108.297880955581,0.067733390520553,0.101611638052906,0.195679024556639
"4-HQN","L1035-03",4,2455.10077993878,44.79030178835,-0.063974513441419,0.004742817686677,0.019017095072185
"A922500","L1035-03",4,2537.77684771119,67.9845361192012,-0.01619154526906,0.500718300535026,0.620292820065779
"Abiraterone acetate","L1035-03",4,1278.10651217281,843.938154107605,-1.00574869108057,0.055107619130662,0.122297657429009
"AGI-5198","L1035-03",4,2359.02699931591,65.7603764130862,-0.12156483021284,0.002008934537322,0.009161624538339
"Aminophylline","L1035-03",4,2568.22730629587,77.9555034923757,0.001016136150994,0.968929890353776,0.988088422030052
"Amprenavir (agenerase)","L1035-03",4,2781.08355128327,61.2323483988544,0.115890327119167,0.000996225452558,0.005011315912866
"Anacardic acid","L1035-03",4,2468.45251575349,103.026164468391,-0.056149867658719,0.151728575088069,0.255445674083362
"Anacetrapib (MK-0859)","L1035-03",4,2547.51681625464,46.9024766662301,-0.010665090976573,0.560436460139219,0.666421578675576
"Anagrelide HCl","L1035-03",4,2477.13935344869,84.3182039335343,-0.051081729856886,0.120810798756004,0.217041045384163
"Apixaban","L1035-03",4,2480.26533469989,105.453845483522,-0.049262294676403,0.203130199044188,0.320528641077331
"Apremilast (CC-10004)","L1035-03",4,2401.38987502905,61.2943023578023,-0.095887110922407,0.003895411635859,0.016165958288817
"Atorvastatin Calcium","L1035-03",4,1221.3489473438,809.280000025216,-1.07128131410124,0.044718321946976,0.104558546689221
"Avanafil","L1035-03",4,2599.88905119163,72.3688932662999,0.018693297681408,0.456861491714253,0.578923722324931
"Avasimibe","L1035-03",4,2352.12341809033,35.0857960037856,-0.125792998980548,1.29E-06,1.76E-05
"Brinzolamide","L1035-03",4,2605.46099819658,99.7869274413289,0.021781898181324,0.508766152874153,0.627453056293531
"Calpeptin","L1035-03",4,3457.98027209599,130.255374295168,0.43017287769216,0.000350417325735,0.002122966280002
"Cathepsin G Inhibitor I","L1035-03",4,2344.85924144372,156.055973407401,-0.130255438269522,0.061130368753515,0.133171144528655
"Cilomilast","L1035-03",4,2622.5724210993,92.5583179632727,0.031225852011585,0.326011346232067,0.454009089551368
"Cilostazol","L1035-03",4,2510.18981647205,67.6143007544404,-0.031960298129486,0.209206343856556,0.32762502905838
"Clarithromycin","L1035-03",4,2503.33033097214,44.0223179166813,-0.03590808395574,0.063536624593714,0.137690335281416
"Daclatasvir (BMS-790052)","L1035-03",4,2358.4483068546,77.7830641241515,-0.121918780872517,0.005520922791902,0.02171737401554
"Dalcetrapib (JTT-705, RO4607381)","L1035-03",4,2563.3826396278,76.1962298353379,-0.001707912920142,0.946876186035203,0.971455172322891
"DAPT (GSI-IX)","L1035-03",4,2604.10920261622,81.9122666846191,0.021033188115551,0.451036678241942,0.572416579420202
"DMOG","L1035-03",4,2447.61943602526,48.2494878254076,-0.068377500218296,0.00504399003734,0.020127460245154
"dmso","L1035-03",32,2566.4190587347,116.945436330479,0,1,1
"Dorzolamide HCl","L1035-03",4,2512.14652371734,50.7359247833503,-0.030836147220086,0.135964874996588,0.235151277959778
"Dyphylline","L1035-03",4,2501.99925927454,95.3784476244649,-0.03667539829452,0.279681077227645,0.403012663366225
"E-64-c","L1035-03",4,2627.24644574501,75.7891247409206,0.0337947764374,0.217755530285402,0.33845897029379
"Edaravone","L1035-03",4,2058.11338602511,42.1192209737387,-0.318434294996803,4.25E-09,8.01E-08
"Elesclomol (STA-4783)","L1035-03",4,2429.78935893803,61.5414571283955,-0.078925510221764,0.009685891996879,0.032680042103289
"Entinostat (MS-275,SNDX-275)","L1035-03",4,2577.5575728086,174.38457004264,0.006247891576349,0.908176418981757,0.941056713801321
